LOCATION,STATAREA
.5 MILE WEST OF SALOMON GULCH,466100
".5 MILE WEST OF SALOMON GULCH, PORT VALDEZ",466100
.6 MILES N OF PT. NOWELL,486034
.72 S OF GRANITE PT.,476036
.75 S OF GRANITE PT.,476035
.75 SW OF GRANITE PT.3,476036
.78 SSW OF GRANITE PT.,476036
.9 SW OF GRANITE PT.,476036
0,499999
05/18/2023 COCHRAN BAY,486033
1/2 MILE OUTSIDE WHITTER HARBOR,486033
10 MILES SOUTHWEST OF WHIT,499999
157,499999
2,499999
2 MILES EAST OF WHITTIER,486033
2 MILES FROM PORT OF VALDE,466100
2 MILES SOUTH OF SAWMILL BAY,466100
"20 MILES OUT OF PWS, PAST",499999
200 YARDS OFF HARRISON LAGOON,486034
3 FINGER,486033
"3 FINGER BAY, COCHRANE BAY",486033
3 FINGER COVE,486033
3 FINGER COVE AREA,486033
3 FINGER COVE VICINITY,486033
3 FINGERS,476035
3 FINGERS COVE,486033
3 FINGERS COVE (COCHRAN BAY),486033
3 FINGERS COVE/COCHRAN BAY,486033
3 MILES WEST OF SAWMILL,466100
3/4 INTO WELLS BAY,476036
300 YARDS OFF HARRISON LAGOON,486034
400 YARDS OFF HARRISON LAGOON,486034
476005,476005
476035,476035
476036,476036
476102,476102
486003,486003
486031,486031
486032,486032
486033,486033
4863034,486034
4864034,486034
5 MILE BEACH,466100
5 MILES FROM VALDEZ,466100
5 MILES OUT OF THE HARBOR ON THE NORTH SIDE OF PORT VALDEZ,466100
60 49 09 X 146 19 47,466033
60 49 21 X 146 15 20,466033
60 49 43 X 146 15 10,466033
60 50 10 X 146 15 24,466033
60 51 41 X 146 13 41,476035
60 54 52 X 147 12 08,476035
60 58 27 X 147 14 41,476035
"60.23864, -147.96118",499999
60.50.83,499999
60.89 147.59,476036
60.9 147.23,476035
"60.93 147,13",476035
60/50/56,499999
61 02 05 X 147 32 25,476101
61 02 39 X 147 33 45,476101
61 02 45 X 147 33 41,476101
61 02 46 X 147 33 12,476101
61 02 46 X 147 33 31,476101
61 03 53 X 147 31 11,476101
61 03 59 X 147 30 10,476101
61 04 01 X 147 30 27,476101
61 04 01 X 147 30 36,476101
61 04 02 X 147 30 07,476101
61 04 03 X 147 30 31,476101
61 06 47 X 146 34 58,466100
61 06 57 X 146 34 34,466100
61 2 05 X 147 32 10,476101
7 MILE BEACH,466100
7 MILE BEACH PORT VALDEZ,466100
9(DANGEROUS PASSAGE (GRANITE BAY),476006
??,499999
ABOVE POTATO PT. IN VALDEZ.,466100
ACROSS (EAST) OF DECISION,486033
ACROSS AND SLIGHTLY DOWN FROM THE WHITTIER HARBOR,486033
ACROSS FROM SHOTGUN,486033
ACROSS FROM THE HARBOR,486033
ACROSS FROM WHITTER AT THE FALLS,486033
ACROSS FROM WHITTIER,486033
ACROSS FROM WHITTIER HARBOR,486033
ACROSS INLET FROM WHITTIER BOAT HARBOR,486033
ACROSS THE BAY FROM VALDEZ,466100
ALEX LIND ISLAND,476033
ALISON POINT,466100
ALISON PT,466100
ALL HARVEST DATA ALREADY R,499999
ALL SUMMER PASSAGE CANAL -,486033
ALLISION POINT,466100
ALLISON CREEK,466100
ALLISON CREEK PORT VALDEZ,466100
ALLISON POINT,466100
ALLISON POINT INSIDE PORT OF VALDEZ,466100
ALLISON POINT PORT VALDEZ,466100
"ALLISON POINT, PORT VALDEZ",466100
"ALLISON POINT, VALDEZ",466100
ALLISON POUINT,466100
ALLISON PT,466100
ALLISON PT .,466100
ALLISON PT.,466100
ALLISON/SOLOMON CRKS,466100
ALLYSON,466100
ALLYSON POINT,466100
ALLYSON POINTT,466100
ALUKLIK BAY EVANS ISLAND,486001
AMMO ISLAND,466100
ANAKWIC,476036
ANDERSON,466100
ANDERSON BAY,466100
ANDERSON BAY PORT VALDEZ,466100
"ANDERSON BAY, VALDEZ BAY",466100
ANDERSON FALLS,466100
ANDERSON FALLS PORT VALDEZ,466100
ANDERSON GLACIER,466100
ANDERSON WATERFALLS,466100
APPLE GATE ISLAND,486031
APPLEGATE,486031
APPLEGATE (CULROSS),486031
APPLEGATE - LOWER CULLROSS PASS,486031
APPLEGATE / CULROSS PASSAGE,486031
APPLEGATE IS,486031
APPLEGATE IS.,486031
