hvrecid,permitno,nocatch,nohrvrpt,harvdate,location,pots,soaktime,shrimp,keyid,keydate,year,comments,mailing,stat_area,,
baf4ddca-c021-443a-a996-7d28255bb174,83879,0,0,4/22/2023,Poe Bay,2,5,2,ADFG WEB,9/26/2023,2023,NULL,0,NULL,,
4f47fc21-7392-44eb-968f-435de2889c40,99389,0,0,4/28/2023,Port Valdez,2,72,0.75,ADFG WEB,5/2/2023,2023,NULL,0,NULL,,
d3259ad8-58fd-4d5b-9a77-fbc759cce150,102099,0,0,8/29/2023,Passage canal,1,72,0.25,ADFG WEB,8/29/2023,2023,NULL,0,NULL,,
f0b3b9cc-af47-4581-9fb8-866823dcf119,325789,0,0,6/22/2023,Decision Point,2,6,3,ADFG WEB,9/26/2023,2023,NULL,0,NULL,,
2982164c-a86b-420a-96d9-52e1508658ce,197407,0,0,8/25/2023,Billings creek,2,24,0.5,ADFG WEB,9/23/2023,2023,NULL,0,NULL,,
2e6b0c28-e789-4b8d-9ba6-a00188183ee9,28725,0,0,4/17/2023,unikwik,3,6,3,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
35f47242-62f1-4bb4-a00e-9c548b211bf1,143598,0,0,7/22/2023,Passage Canal,2,26,5,ADFG WEB,9/16/2023,2023,NULL,0,NULL,,
6c210d8d-fbb8-4f80-b0b5-0ecb36b17b69,93997,0,0,4/16/2023,Unakwik,2,24,0.5,ADFG WEB,9/29/2023,2023,NULL,0,NULL,,
1ebab389-d52c-4207-b486-515503797374,224807,0,0,7/1/2023,Unakwik,3,18,4,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
bcfc6cdf-6684-497e-b891-0301dd4c39fe,66507,0,0,4/23/2023,Passage canal,2,12,1,ADFG WEB,9/16/2023,2023,NULL,0,NULL,,
a88b047c-011c-43e1-9757-e1af1c313c1c,103853,1,0,7/22/2023,Entrance to Culross passage,2,12,0,ADFG WEB,9/16/2023,2023,NULL,0,NULL,,
600c7fea-248e-4ae6-89e5-59f00ea850a2,63425,0,0,6/17/2023,Port of Valdez,2,24,1.5,ADFG WEB,10/2/2023,2023,NULL,0,NULL,,
dac391a2-20af-4f18-959b-ae6c07ce86f5,25008,0,0,5/13/2023,Gold Creek,2,48,1,ADFG WEB,10/6/2023,2023,NULL,0,NULL,,
1b5fcd08-4986-4108-bc4a-2821b53f8fcc,71280,0,0,5/23/2023,POV,2,24,2,ADFG WEB,10/16/2023,2023,NULL,1,NULL,,
5c7eb627-883b-4755-850e-00846b211110,13371,1,0,6/4/2023,Perry island south side,3,10,0,ADFG WEB,8/14/2023,2023,NULL,0,NULL,,
1647f2b1-50f5-4823-b87b-67372fd7a7de,13816,0,0,5/29/2023,Black stone Bay,2,24,5,ADFG WEB,9/30/2023,2023,NULL,0,NULL,,
de1e6c74-0194-43aa-9dc5-7f962342d896,207053,0,0,8/4/2023,Nellie Juan,3,9,3,ADFG WEB,8/14/2023,2023,NULL,0,NULL,,
fd51c03a-86f9-4306-9f65-62c539cb6927,242252,0,0,6/2/2023,unakwik,3,24,3,ADFG WEB,7/4/2023,2023,NULL,0,NULL,,
0cc96c20-098b-47aa-8a22-bd6ee102917b,155880,0,0,7/5/2023,College Fjord,1,24,1,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
71304368-a5ce-42fd-8222-0aff69efcf11,13698,0,0,5/27/2023,Grey stone bay,2,12,2,ADFG WEB,10/8/2023,2023,NULL,0,NULL,,
